Filename,Algorithm,Cost,Optimal,Absolute Error,Relative Error (%),Time (s)
pr136.txt,Nearest Neighbor,120155.3064,96772.0,23383.3064,24.16329764808002,0.00045418739318847656
pr136.txt,Christofides Solver,103696.75660000007,96772.0,6924.756600000066,7.15574401686445,0.017902135848999023
dsj1000.txt,Nearest Neighbor,24627366.0,18660188.0,5967178.0,31.97812369307319,0.024062156677246094
dsj1000.txt,Christofides Solver,20973218.0,18660188.0,2313030.0,12.395534278647139,20.033701181411743
rl1304.txt,Nearest Neighbor,339765.7048,252948.0,86817.7048,34.32235273653083,0.039879798889160156
rl1304.txt,Christofides Solver,278197.79880000005,252948.0,25249.798800000048,9.982209307841947,5.766677618026733
swiss42.txt,Nearest Neighbor,1593.0,1273.0,320.0,25.13747054202671,5.316734313964844e-05
swiss42.txt,Christofides Solver,1363.0,1273.0,90.0,7.0699135899450125,0.0031859874725341797
bayg29.txt,Nearest Neighbor,1990.0,1610.0,380.0,23.60248447204969,2.7179718017578125e-05
bayg29.txt,Christofides Solver,1747.0,1610.0,137.0,8.509316770186336,0.002061605453491211
u574.txt,Nearest Neighbor,46874.92729999997,36905.0,9969.927299999967,27.01511258637032,0.00724029541015625
u574.txt,Christofides Solver,41156.28449999997,36905.0,4251.2844999999725,11.519535293320613,3.176767349243164
rl1889.txt,Nearest Neighbor,400684.6408000003,316536.0,84148.64080000028,26.584224479996045,0.0838768482208252
rl1889.txt,Christofides Solver,344691.9547000002,316536.0,28155.954700000177,8.89502448378705,16.726250886917114
pr124.txt,Nearest Neighbor,69207.8718,59030.0,10177.871799999994,17.24186312044722,0.00035858154296875
pr124.txt,Christofides Solver,64346.14570000001,59030.0,5316.145700000008,9.00583720142302,0.01816082000732422
kroA200.txt,Nearest Neighbor,39211.716499999995,29368.0,9843.716499999995,33.51851164532823,0.0009531974792480469
kroA200.txt,Christofides Solver,33527.37200000001,29368.0,4159.37200000001,14.162939253609405,0.19278216361999512
